artist,couplet,song,url
Drake,Can You Help Me?<br>(Uh),special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,Special<br>(Uh; Yea; I Need You To Hold Me Down Babe),special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,By That I Mean That You Gon Hold Me Down<br>(Uh),special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,Gotta Be Special<br>(Yea; You Never Really Know Right?),special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,Cuz You Never Know How People Stick Around<br>Special,special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,A Girl I Can Love That Sees Nothing Wrong With Getting Used To Me<br>Yea My Name Aint Change But I'm Far From The Man That I Used To Be,special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,Look Theres Requirements To Be An Admirer<br>Still The New Version Of Fresh Needa A Nia Or Tyra,special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,"So We Can Be Jenny And Swayze<br>I Told You I'm Careful With My Heart Girl, Many Have Played Me",special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,Or Maybe Its Karma<br>They Say Is A Charmer,special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,Halfway To A Night So I Stay In A Armor<br>I'm Fire On The Move,special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,A Tire Looking Smooth<br>I'm Not Perfect But I Got A Desire To Improve,special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,I'm Special<br>Like Kids In A Graduating Class,special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,Having More Trouble Than Others When Addin Basic Math<br>Need You To Be Special Like Areba To Cootmore,special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,"Double O, Top Secret Agents With Suits On<br>Something So Deep It Da Drown Me",special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,Friends Are Some Cool Dudes<br>I Vouch For The People Around Me,special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,On Your End Its Simple<br>All You Have To Do,special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,Is Give Me No Reason For Other Lovers After You And Uh<br>(Yep; Ho!; Were Makin History Right Now Man),special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,"You Can't Just Love Me Like They Do<br>(Yea; And You A Legend For Real, Ima Give You That Man)",special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,I Need Someone Special In You<br>(Uh; Yea; I Know They Out There Man),special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,I Know That Out There Theres A Few<br>(Ho!; Yeal Uh),special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,See I've Been Searching I Don't What To Do<br>(You Gotta Help Me Baby),special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,Can You Help Me?<br>Special,special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,(All Around The World)<br>By That I Mean That You Gon Hold Me Down,special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,(From La To Va)<br>Special,special,http://www.azlyrics.com/lyrics/drake/special.html
