VBN
obligated
called
liked
gone
wanted
accepted
confronted
thought
destined
saved
offered
celebrated
broken
gifted
knocked
blessed
questioned
written
performed
signed
laid
reprised
thrown
resolved
destroyed
taught
fitted
kicked
staged
concealed
disconnected
compared
made
had
invested
voted
grown
satisfied
amazed
exposed
left
opposed
persuaded
found
graded
engaged
married
adapted
answered
smoked
involved
decided
built
done
neglected
shelled
crowded
named
stressed
shown
instructed
located
expected
told
fooled
spent
hit
dedicated
fought
budged
relieved
completed
ruined
guaranteed
missed
believed
fucked
tied
talked
expired
birthed
banished
hurt
connected
damned
acquainted
disliked
burned
concerned
worried
confused
paid
inducted
landed
greeted
tinted
killed
rewarded
treated
chartered
put
restricted
conceived
poured
born
rejected
stated
wasted
wrapped
pressed
pinned
mentioned
pushed
hated
buried
fed
pastured
worked
embarrassed
spilled
meant
invited
raised
recommended
taken
rolled
thrown
held
pleased
legalized
flown
supposed
imported
addressed
equipped
gotten
dressed
arrested
cursed
lost
allowed
gated
tailored
felt
started
lied
handled
dismissed
tired
met
loved
immortalized
seen
finished
sheltered
interrupted
caught
covered
run
posted
known
trained
labeled
given
scared
mortified
desensitized
offended
fashioned
overdosed
forced
forgotten
recorded
attached
started
addicted
approached
heard
distorted
rubbed
attracted
convinced
learned
shipped
chauffeured
dripped
sold
blown
faded
done
ashamed
scouted
jaded
tangled
qualified
cut
drove
chased
routed
introduced
reminded
reached
owed
deceived
sent
filled
needed
hammered
sauced
predicted
handed
driven
used
