JJR
lighter
lower
older
sooner
brighter
colder
stinkier
younger
more legit
softer
deeper
cheaper
closer
bigger
smaller
easier
finer
happier
radder
richer
sicker
higher
harder
tougher
slicker
better
greener
badder
worse
less
hotter
louder
