VBG
inviting
sipping
forgetting
reacting
dishing
storming
understanding
loving
smoking
feeling
hurting
taking
screwing
tasting
hitting
having
grinding
pacing
playing
plotting
cooking
puffing
living
reflecting
standing
nagging
yelling
rapping
shaking
knowing
repping
doin
coming
housekeeping
kicking
paying
skating
judging
tipping
sacrificing
embracing
driving
saving
counting
stunting
dancing
hoping
rushing
wanting
adjusting
rolling
spilling
performing
swerving
tripping
studying
giving
cheating
running
thinking
praying
ridin
smiling
killing
overreacting
fronting
listening
dominating
harassing
flying
sleepin
wondering
talking
trying
waiting
cutting
getting
popping
PMSing
buying
telling
hanging
rapping
breaking
magnifying
drinking
expressing
evolving
Walking
trying
quoting
fighting
shopping
scheming
playing
spending
swagging
owing
hiding
feeling
staring
doing
waiting
smoking
dipping
flashing
crying
practicing
dancing
knowing
racing
bluffing
watching
keeping
tryin
hating
parking
blowing
riding
admitting
sipping
wearing
claiming
splurging
touching
eating
downplaying
undressing
falling
learning
explaining
living
smelling
condoning
saying
writing
dating
killing
tweaking
purchasing
losing
reading
balling
having
serving
inspiring
stealing
seein
robbing
discussing
swerving
sneaking
dressing
screaming
making
eyeing
entertaining
calling
snapping
recording
drinking
comprehending
attending
Running
popping
shuffling
chilling
hearing
confessing
avoiding
claiming
planning
bothering
evading
romancing
laughing
