t,used
0,False
1,True
2,False
3,True
4,False
5,True
6,False
7,False
8,False
9,True
10,True
11,False
12,False
13,False
14,False
15,False
16,False
17,True
18,True
19,False
20,False
21,True
22,True
23,False
24,False
25,False
26,False
27,False
28,False
29,False
30,False
31,False
32,False
33,False
34,False
35,False
36,False
37,False
38,False
39,False
40,False
41,False
42,False
43,False
44,False
45,False
46,False
47,False
48,False
49,False
